Date	Start	End	Via	Miles	People	Mode
5/20/2015	Concord, NC	Manteo, NC			Daven	drive
5/23/2015	Manteo, NC	Swanquarter, NC		62	Daven	bicycle
5/24/2015	Swanquarter, NC	Belhaven, NC		34	Daven	bicycle
5/25/2015	Belhaven, NC	Greenville, NC		54	Daven	bicycle
5/26/2015	Greenville, NC	Wake Forest, NC		77	Daven	bicycle
5/27/2015	Wake Forest, NC	Chapel Hill, NC		58	Daven	bicycle
5/30/2015	Chapel Hill, NC	Winston-Salem, NC		77	Daven, Neil, Bob	bicycle
5/31/2015	Winston-Salem, NC	Taylorsville, NC		70	Daven, Neil, Bob	bicycle
6/1/2015	Taylorsville, NC	Linville Falls, NC		54	Daven	bicycle
6/2/2015	Linville Falls, NC	Asheville, NC		50	Daven	bicycle
6/4/2015	Asheville, NC	Gatlinburg, TN		85	Daven	bicycle
6/5/2015	Gatlinburg, TN	Maryville, TN		40	Daven	bicycle
6/8/2015	Maryville, TN	Sweetwater, TN		40	Daven	bicycle
6/9/2015	Sweetwater, TN	Dunlap, TN		77	Daven	bicycle
6/10/2015	Dunlap, TN	Sewanee, TN		55	Daven	bicycle
6/11/2015	Sewanee, TN	Pulaski, TN		85	Daven	bicycle
6/12/2015	Pulaski, TN	Savannah, TN		77	Daven	bicycle
6/13/2015	Savannah, TN	Bolivar, TN		47	Daven	bicycle
6/14/2015	Bolivar, TN	Memphis, TN		70	Daven	bicycle
6/16/2015	Memphis, TN	Brinkley, AR		82	Daven	bicycle
6/17/2015	Brinkley, AR	Little Rock, AR		70	Daven	bicycle
6/20/2015	Little Rock, AR	Lamar, AR		88	Daven	bicycle
6/21/2015	Lamar, AR	Fayetteville, AR		73	Daven	bicycle
6/22/2015	Fayetteville, AR	Grove, OK		60	Daven	bicycle
6/23/2015	Grove, OK	Bartlesville, OK		80	Daven	bicycle
6/25/2015	Bartlesville, OK	Ponca City, OK		71	Daven	bicycle
6/26/2015	Ponca City, OK	Cherokee, OK		80	Daven	bicycle
6/27/2015	Cherokee, OK	Coldwater, KS		89	Daven	bicycle
6/28/2015	Coldwater, KS	Dodge City, KS		67	Daven	bicycle
6/29/2015	Dodge City, KS	Garden City, KS		53	Daven	bicycle
6/30/2015	Garden City, KS	Lamar, CO		102	Daven	bicycle
7/1/2015	Lamar, CO	Rocky Ford, CO		75	Daven	bicycle
7/2/2015	Rocky Ford, CO	Colorado Springs, CO		96	Daven	bicycle
7/5/2015	Colorado Springs, CO	Buena Vista, CO		87	Daven	bicycle
7/6/2015	Buena Vista, CO	Gunnison, CO		85	Daven	bicycle
7/7/2015	Gunnison, CO	Ouray, CO		106	Daven	bicycle
7/8/2015	Ouray, CO	Durango, CO		75	Daven	bicycle
7/10/2015	Durango, CO	Cortez, CO		45	Daven	bicycle
7/11/2015	Cortez, CO	Teec Nos Pos, AZ		47	Daven	bicycle
7/12/2015	Teec Nos Pos, AZ	Kayenta, AZ		73	Daven	bicycle
7/13/2015	Kayenta, AZ	Tuba City, AZ		72	Daven	bicycle
7/14/2015	Tuba City, AZ	Desert View, AZ		56	Daven	bicycle
7/15/2015	Desert View, AZ	Williams, AZ		80	Daven	bicycle
7/16/2015	Williams, AZ	Prescott, AZ		85	Daven	bicycle
7/18/2015	Prescott, AZ	Wickenburg, AZ		60	Daven	bicycle
7/19/2015	Wickenburg, AZ	Wenden, AZ		45	Daven	bicycle
7/20/2015	Wenden, AZ	Blythe, CA		65	Daven	bicycle
7/21/2015	Blythe, CA	Brawley, CA		88	Daven	bicycle
7/22/2015	Brawley, CA	Julian, CA		75	Daven	bicycle
7/23/2015	Julian, CA	El Cajon, CA		50	Daven	bicycle
7/24/2015	El Cajon, CA	San Diego, CA		36	Daven	bicycle
6/25/2008	Charlotte, NC	Denver, IL			Neil	fly
6/25/2008	Denver, CO	Billings, MT			Neil	fly
7/10/2008	Charlotte, NC	Skokie, IL		781	Baa, Dada, Neha, Roshan	drive
7/12/2008	Skokie, IL	Sioux Falls, SD		567	Baa, Dada, Neha, Roshan, Kris, Swati	drive
7/13/2008	Sioux Falls, SD	Rapid City, SD		348	Baa, Dada, Neha, Roshan, Kris, Swati	drive
7/14/2008	Rapid City, SD	Mt. Rushmore		25	Baa, Dada, Neha, Roshan, Kris, Swati	drive
7/15/2008	Rapid City, SD	Billings, MT		405	Baa, Dada, Neha, Roshan, Kris, Swati	drive
7/16/2008	Billings, MT	Old Faithful, Yellowstone National Park		230	Baa, Dada, Neha, Roshan, Kris, Swati, Neil	drive
7/17/2008	Old Faithful, Yellowstone National Park	Mammoth Hot Springs		200	Baa, Dada, Neha, Roshan, Kris, Swati, Neil	drive
7/18/2008	Old Faithful, Yellowstone National Park	Jackson, WY		198	Baa, Dada, Neha, Roshan, Kris, Swati, Neil	drive
7/20/2008	Charlotte, NC	Salt Lake City, UT			Smita	fly
7/20/2008	Jackson, WY	Salt Lake City, UT	Garden City, UT	308	Baa, Dada, Neha, Roshan, Kris, Swati, Neil	drive
7/21/2008	Salt Lake City, UT	Kanab, UT		395	Baa, Dada, Neha, Roshan, Kris, Neil, Smita	drive
7/21/2008	Salt Lake City, UT	Chicago, IL			Swati	fly
